deaf	titreDees	genre	vers	lieuComposition	dateComposition	lieuManuscrit	dateManuscrit	qualite	lieuCompositionType	dateCompositionType	lieuManuscritType	dateManuscritType	genreType	rmques
OrsonP	Orson de Beauvais, v. 1-2005	chanson de geste en alexandrins	oui	pic. mérid.	1225ca	lorr.	1290pm10	ms	pic	1emxiiie	lorr	2emxiiie	chgeste	-
RenN_H	Le roman de Renart, branche VI, ms. H	nil	oui	nil	1188pm13	pic.	1290pm10	ms1	nil	2emxiie	pic	2emxiiie	narrbref	-
Perclo_R	nil	nil	oui	champ. mérid.	1180ca	pic. 	1237pm13	ms1	champ	2emxiie	pic	1emxiiie	roman	-
AdHaleRobS*	Li Gieus de Robin et Marion, ms. P	jeu	oui	art.	1285ca	Arras	1295	ms 	pic	2emxiiie	pic	2emxiiie	theatre	-
RenBeaujBelW2	[PVR] Le bel inconnu, de Renaut de Beaujeu v.1-811 G.P. Williams, CFMA, Paris 1929 Musee Condee, Chantilly ms 472 2e moitié 13e s	conte en octosyllabes	oui	est	1200ca	hain.	1283pm17	ms2	bourgfrc	1emxiiie	pic	2emxiiie	narrbref	traits frc brg
EustMoineC	Li romans de Witasse le moine, v. 1-853	nil	oui	pic.	1238pm13	pic.	1285	ms3	pic	1emxiiie	pic	2emxiiie	roman	-
PercLo_U	Le Perceval de Chrétien de Troyes, ms. U, v. 1-2000	roman arthurien	oui	champ. mérid.	1180ca	Paris	1330ca	ms1	champ	2emxiie	idf	1emxive	roman	-
ComparFaucVH*	Li dis du faucon	poème moral allégorique où le riche est représenté par un faucon et le pauvre par un poulet	oui	pic.	1250pm50	pic.	1295	cr	pic	mxiiie	pic	2emxiiie	poalleg	-
FetRomF1	Li fet des Romains, p. 5-31, ms. V	roman antique (basé sur Lucain)	non	frc.	1213ca	bourg.	1290pm10	cr1	bourgfrc	1emxiiie	bourgfrc	2emxiiie	hist	-
PercLo_T	[PVR] Le Perceval de Chretien de Troyes, ms. T, v.1- 2000 R.L.H. Lops (T) BN 12576 de2but 13e s	roman arthurien	oui	champ. mérid.	1180ca	pic. sept.	1275pm25	ms1	champ	2emxiie	pic	2emxiiie	roman	-
MarieLaustW3*	nil	lai	oui	Nord-Ouest	1165ca	agn.	1275pm25	intégral	ouest	2emxiie	agn	2emxiiie	narrbref	norm. Et agn.
SEust2P	La vie de Saint Eustache, ms. M	vie de saint en octosyllabes	oui	norm.	1210pm10	norm.	1250ca	ms2	ouest	1emxiiie	ouest	mxiiie	hagio	-
MarieChaitW2	nil	lai breton	oui	agn.	1165ca	agn.	1275pm25	ms	agn	2emxiie	agn	2emxiiie	narrbref	-
MarieGuig_H	nil	lai	oui	Nord-Ouest	1165ca	agn.	1275pm25	cr	ouest	2emxiie	agn	2emxiiie	narrbref	-
MarieDousAm_H	nil	lai	oui	agn.	1165ca	agn.	1275pm25	ms	agn	2emxiie	agn	2emxiiie	narrbref	-
RenN_D	Le roman de Renart, branche VI, ms. D	nil	oui	nil	1188pm13 	frc.	1339	 ms1	nil	2emxiie	bourgfrc	1emxive	narrbref	-
CharroiSch_A1*	Le charroi de Nimes, ms. A1	épopée du cycle de Guillaume d'Orange	oui	nil	1150pm17	frc.	1263pm13	ms1	nil	mxiie	bourgfrc	2emxiiie	chgeste	-
ContPerc_4_TW*	La continuation de Perceval, ms. A, v. 1-1520	roman en vers	oui	pic.	1238pm13	pic.	1210pm10	ms1	pic	1emxiiie	pic	1emxiiie	roman	dates étranges
HelcanusN	Le roman de Helcanus, par. 1-16	épisode du cycle des Sept Sages	non	pic.	1285ca	frc.	1290pm10	cr2	pic	2emxiiie	bourgfrc	2emxiiie	narrbref	-
YvainL_H	nil	roman arthurien en octosyllabes	oui	champ. mérid.	1177ca	champ.	1235ca	ms1	champ	2emxiie	champ	1emxiiie	roman	-
MarieLanvR2_P	nil	lai	oui	Nord-Ouest	1165ca	pic.	1290pm10	ms2	ouest	2emxiie	pic	2emxiiie	narrbref	-
ChastVergiS_E	La chastelaine de Vergi, ms. E	conte courtois en octosyllabes.	oui	norm.	1240ca	champ. mérid.	1310pm10	ms1	ouest	1emxiiie	champ	1emxive	narrbref	-
TournAntB	[PVR] Le torneiment Anticrist de Huon de Meri, v.1-811 M.O. Bender, Mississippi 1976 (D) BN ffr 25.407 2e moitié 13e s	poème allégorique traitant de l'Antéchrist	oui	norm.	1236ca	agn.	1288pm13	cr	ouest	1emxiiie	agn	2emxiiie	poalleg	-
PeanGatS1_1	Leben und Wunderthaten des heiligen Martin, v. 1-2000	vie de saint	oui	tour.	1225pm25	bourg.	1290pm10	ms	centre	1emxiiie	bourgfrc	2emxiiie	hagio	-
WaceMargMF	[PVR] La vie de Sainte Marguerite de Wace, ms. m E.A. Francis, CFMA, Paris 1932 (M) Tours Bibl. Munic. 927 2e moitie2 13e s	vie de saint en vers octosyllabiques	oui	norm.	1135ca	tour.	1238pm13	cr3	ouest	1emxiie	centre	1emxiiie	hagio	-
PriereTheopS	Li prière Theophilus	nil	oui	pic.	1290pm10	pic.	1300ca	cr2	pic	2emxiiie	pic	1emxive	nil	-
RutebTheophF	Le miracle de Théophile de Rutebeuf	nil	oui	champ. mérid. 	1261ca	frc.	1288pm13	cr3	champ	2emxiiie	bourgfrc	2emxiiie	theatre	-
PercLo_H	[PVR] Perceval de Chretien de Troyes, ms. H, v.1-2000 R.L.H. Lops Londres Arundel 14 2e moitie2 14e s	roman arthurien	oui	champ. mérid.	1180ca	agn.	1350pm10	ms1	champ	2emxiie	agn	mxive	roman	-
PercLo_Pr	nil	roman arthurien	oui	Troyes	1180ca	Nord Est	1300pm20	ms1	bourgfrc	2emxiie	bourgfrc	1emxive	roman	-
RenN_B	Le roman de Renart, branche VI, ms. B	nil	oui	nil	1188pm13	Est	1275pm25	ms	nil	2emxiie	bourgfrc	2emxiiie	narrbref	-
CharroiSch_fragm*	Le charroi de Nimes, ms. Afragment	nil	oui	nil	1150pm17	nil	1250pm50	ms1	nil	mxiie	nil	mxiiie	chgeste	-
SHilR_C*	La vie de saint Hylaire	hagiographie	non	wall.	1208pm4	pic.	1275pm25	ms	wall	1emxiiie	pic	2emxiiie	hagio	-
GlWallW*	Gloses wallonnes	gloses	non	wall.	1290pm10	wall.	1290pm10	ms	wall	2emxiiie	wall	2emxiiie	nil	-
RecMédCambraiS*	Remèdes populaires du moyen âge	recueil de recettes médicales et magiques précédé d'une explication des quatre humeurs	non	Nord	1275pm25	pic.	1290pm10	ms1	pic	2emxiiie	pic	2emxiiie	didact	-
AubereeN_transE*	Fabliau 4, ms. E	fabliau	oui	pic.	1200ca	frc.	1290pm10	ms	pic	1emxiiie	bourgfrc	2emxiiie	narrbref	-
VolucrK	Li volucraires	nil	oui	champ.	1265	champ.	1288pm13	ms2	champ	2emxiiie	champ	2emxiiie	didact	-
TroiePr15V	Le roman de Troie en prose, par. 1-19	version adaptée de Benoît de Sainte Marne	non	champ.	1288pm13	Marne	1288pm13	ms1	champ	2emxiiie	bourgfrc	2emxiiie	roman	-
MuleJ	La mule sans frein, dans: Two old french Gauvain romances	conte en octosyllabes.	oui	bourg.	1200ca	bourg. sept.	1310pm10	ms1	bourgfrc	1emxiiie	bourgfrc	1emxive	narrbref	-
BestAmOctT	Le bestiaire d'amour rimé, v. 1-2658	bestaire rimé	oui	franc.	1250ca	Nord	1300ca	cr	idf	mxiiie	pic	1emxive	didact	-
JMeunVégR	L'art de chevalerie de Jean de Meun , par. 1-28	traduction française en prose du De re militari de Végèce	non	frc.	1288pm2	pic.	1340	cr2	bourgfrc	2emxiiie	pic	1emxive	didact	-
YsLyonF	Lyoner Yzopet	fables ésopiennes	oui	Est	1275pm25	frcomt.	1290pm10	ms	bourgfrc	2emxiiie	bourgfrc	2emxiiie	narrbref	-
JuiseR	Li ver del Juise	sermon en alexandrins assonancés	oui	liég.	1137pm13	wall.	1210pm10	cr2	wall	1emxiie	wall	1emxiiie	sermon	-
ModvB2	Saint Modwenna, ms. O	vie de saint	oui	agn.	1230ca	agn.	1250ca	cr	agn	1emxiiie	agn	mxiiie	hagio	-
YvainL_S	Le chevalier au lion de Chrétien de Troyes, ms. S, v. 1-1000	roman arthurien en octosyllabes	oui	champ. mérid.	1177ca	nil	1300ca	ms1	champ	2emxiie	nil	1emxive	roman	-
SSagAD	Les sept sages de Rome	nil	non	Traits de l'Ouest.	1250pm17	frc.	1290pm10	ms1	ouest	mxiiie	bourgfrc	2emxiiie	roman	-
ChastVergiS_F	La chastelaine de Vergi, ms. F	conte courtois en actosyllabes.	oui	norm.	1240ca	pic.	1318pm2	ms1	ouest	1emxiiie	pic	1emxive	narrbref	-
Aucun	[PVR] Zwei ungedruckte Versionen der Theophilussage, p.531-540 A. Weber, ZfRP I (1877), p.523-540 London Brit.M. Ms Egerton 612 nv	miracles en octosylabes.	oui	agn.	1150pm17	agn.	1210pm10	ms2	agn	mxiie	agn	1emxiiie	hagio	-
MerlinP	Merlin, roman en prose du XIIIe siècle, p. 1-29	roman arthurien	non	Sud-Est	1213pm13	pic.	1310pm10	cr1	sudest	1emxiiie	pic	1emxive	roman	-
YvainL_A	[PVR] Le chevalier au lion de Chretien de Troyes v.1-1000 R.L.H. Lops (A) Chantilly 472 fin 13e s	roman arthurien en octosyllabes	oui	champ. mérid.	1177ca	hain.	1283pm17	ms1	champ	2emxiie	pic	2emxiiie	roman	-
ChastVergiS_G	La chastelaine de Vergi, ms. Go	conte courtois en octosyllabes	oui	norm.	1240ca	nil	1290pm10	ms1	ouest	1emxiiie	nil	2emxiiie	narrbref	-
DialGregF	Li dialoge Gregoire lo Pape, p. 5-52	récit pieux sous forme de dialogues.	non	liég.	1180pm30	Est	1210pm10	ms3	wall	2emxiie	bourgfrc	1emxiiie	dialogue	-
ChastVergiS_B	La chastelaine de Vergi, ms. B	conte courtois en octosyllabes.	oui	norm.	1240ca	norm. 	1300ca	ms1	ouest	1emxiiie	ouest	1emxive	narrbref	-
MarieMil_H	nil	nil	oui	Nord-Ouest	1165ca	agn.	1275pm25	ms	ouest	2emxiie	agn	2emxiiie	narrbref	-
SBernAn2S	Predigten des H. Bernhard	sermons liturgiques	non	lorr.	1190pm10	lorr.	1190pm10	ms	lorr	2emxiie	lorr	2emxiie	sermon	-
ChastVergiS_A	La chastelaine de Vergi, ms. A	conte courtois en octosyllabes	oui	norm.	1240ca	pic.	1289	ms1	ouest	1emxiiie	pic	2emxiiie	narrbref	-
AlexisAloS	The Oxford Version of the Vie de saint Alexis, ms. O	légende en alexandrins	oui	nil	1210pm10	wall.	1210pm10	ms2	nil	1emxiiie	wall	1emxiiie	hagio	-
RouH_2	nil	chronique historique	oui	norm	1167pm7	frc.	1300ca	ms2	ouest	2emxiie	bourgfrc	1emxive	hist	-
YvainLo*;PercLo*	[PVR] Le Chevalier au lion de Chretien de Troyes (F), 1-1000 et Perceval 1-2000 (R) R.L.H.Lops Paris BN 1450 de2but 13e s	roman arthurien en vers	oui	champ. mérid.	1180ca	pic.	1238pm13	ms	bourgfrc	2emxiie	pic	2emxiiie	roman	-
SSilvCroixP	La vie de Saint-Silvestre	vie de Saint	oui	Ouest	1200ca	tour.	1210pm10	ms2	ouest	1emxiiie	centre	1emxiiie	hagio	-
MarieFab_K	nil	fable	oui	Nord-Ouest	1180ca	nil	1310pm10	ms	ouest	2emxiie	nil	1emxive	narrbref	-
NarcisusP_A	nil	poème antiquisant	oui	norm.	1165ca	frc.	1287pm13	ms	ouest	2emxiie	bourgfrc	2emxiiie	narrbref	-
PoignEnfM*, DeuxChevM*, EnsMorM*	Des poignes d'enfer, les deux chevaliers, enseignement moral	1) Des poignes d'enfer: légende pieuse ; 2)Les II chevaliers : enseignement moral; 3) enseignement moral: enseignement moral	oui	nil	1310pm10	bourg.	1310pm10	ms1	nil	1emxive	bourgfrc	1emxive	nil	-
MarieGuig_P	nil	lai	oui	Nord-Ouest.	1165ca	pic.	1290pm10	?	ouest	2emxiie	pic	2emxiiie	narrbref	-
RenN_I	nil	nil	oui	nil	1188pm13	nil	nil	ms1	nil	2emxiie	nil	nil	narrbref	-
CharroiSch_A2*	Le charroi de Nimes, ms. A2	épopée du cycle de Guillaume d'Orange	oui	nil	1150pm17	frc.	1263pm13	ms1	nil	mxiie	bourgfrc	2emxiiie	chgeste	-
FlorOctOctV	Octavian, v. 1-804	roman antique en octosyllabes	oui	pic.	1275pm25	pic.	1290pm10	ms2	pic	2emxiiie	pic	2emxiiie	roman	-
MaccabES	La chevalerie de Judas Macabé, ms. E, v. 1-1546	traduction en vers	oui	pic.	1285	Nord	1290pm10	ms1	pic	2emxiiie	pic	2emxiiie	nil	-
NoomenFabl_transD*	Fabliaux nrs 2 et 4 du ms. D	fabliau	oui	pic.	1250pm50	frc.	1290pm10	ms	pic	mxiiie	bourgfrc	2emxiiie	narrbref	-
GirVianeE	Girart de Vienne, par Bertrand de Bar-sur-Aube, v. 1-1024	chanson de geste à laisses assonancées rattachée au cycle de Guillaume d'Orange	oui	champ. mérid.	1210pm10	bourg.	1270ca	cr2	champ	1emxiiie	bourgfrc	2emxiiie	chgeste	-
SThibAlM	La vie de saint Thibaut	vie de Saint	oui	bourg.	1290pm10	bourg.	1290pm10	ms2	bourgfrc	2emxiiie	bourgfrc	2emxiiie	hagio	-
Turp1M	[PVR] Chronique dite Saintongeaise, chap.1-11 A. de Mandach, Beihefte zur ZfRP, Tuebingen 1970 Ms Lee,Aberystwyth Nation.Lib. of Wales ms 5005 13e s.	chronique historique	non	saint.	1217pm17	poit.	1275pm25	ms	sudouest	1emxiiie	centre	2emxiiie	hist	val lieu ?
NoomenFabl_transA*	Fabliaux nrs 1,2,4,23 et 29 du ms. A	fabliau	oui	pic.	1250pm50	frc.	1288pm13	ms	pic	mxiiie	bourgfrc	2emxiiie	narrbref	-
BalJosPr1M	L'histoire de Barlaam et Josaphat, p. 29,1-102,43	légende orientale en prose	non	champ.	1217pm17	est	1290pm10	cr3	champ	1emxiiie	bourgfrc	2emxiiie	narrbref	-
OmbreB1	[PVR] Le Lai de l'Ombre J. Bedier, Fribourg 1890 nv 13e s	conte courtois	oui	pic.	1221ca	frc.	1288pm13	cr1	pic	1emxiiie	bourgfrc	2emxiiie	narrbref	-
YvainL_V	Le chevalier au lion de Chrétien de Troyes v. 1-1000, ms. V	roman arthurien en octosyllabes	oui	champ. mérid.	1177ca	frc.	1290pm10	ms1	champ	2emxiie	bourgfrc	2emxiiie	roman	-
PhMézPel_A	nil	nil	non	pic.	1389	nil	1400ca	ms1	pic	2emxive	nil	1emxve	poalleg	-
SJeanBoucheD	La vie de saint Jehan Bouche d'Or	vie de Saint	oui	pic.	1200ca	pic.	1370	cr1	pic	1emxiiie	pic	2emxive	hagio	-
ElesoS	Bruchstueck des romanz des eles von Raol von Houdan	poème didactique	oui	pic.	1207pm7	Nord-Est	1310pm10	ms	pic	1emxiiie	bourgfrc	1emxive	poalleg	-
RouH_3a	Le roman de Rou de Wace, tome I, 3e partie v. 273-1018, ms. A	chronique historique	oui	norm.	1167pm7	agn.	1210pm10	cr2	ouest	2emxiie	agn	1emxiiie	hist	-
RCambr2M	Raoul de Cambrai, v. 6250-8726 (seconde main)	chanson de geste à laisses rimées	oui	Nord-Est	1190pm10	Nord	1275pm25	cr1	pic	2emxiie	pic	2emxiiie	chgeste	-
GuibAndrM	Guibert d'Andrenas, v. 1-849	chanson de geste du cycle de Guillaume d'Orange à laisses décasyllabiques rimées	oui	frc.	1210pm10	bourg.	1270ca	cr3	bourgfrc	1emxiiie	bourgfrc	2emxiiie	chgeste	-
TristBérM5*	[PVR] Le roman de Tristan de Beroul, V.1-1007 E. Muret, CFMA, 4me edition, Paris 1962 BN f fr 2171 2e moitie2 13e s	roman breton	oui	Ouest	1188pm13	nil	1275pm25	ms1	ouest	2emxiie	nil	2emxiiie	roman	-
RutebF	Sainte Marie l'Egyptienne, v. 1-813	vie de Saint	oui	champ. mérid.	1263pm14	frc.	1288pm13	cr2	champ	2emxiiie	bourgfrc	2emxiiie	hagio	-
PenitAdam1/2Q	The penitance of Adam	récit pieux	non	nil	1275pm25	pic.	1283pm17	ms2	nil	2emxiiie	pic	2emxiiie	narrbref -	
MarieProlW2	nil	nil	oui	agn.	1165ca	agn.	1275pm25	ms	agn	2emxiie	agn	2emxiiie	narrbref	-
MarieYon_S	nil	lai breton	oui	agn.	1165ca	frc.	1300ca	ms	agn	2emxiie	bourgfrc	1emxive	narrbref	-
PlainteAmV	nil	complainte	oui	agn.	1312	agn.	1325pm25	cr	agn	1emxive	agn	1emxive	nil	-
RenN_K	[PVR] Le Roman de Renart, br. VI, ms K E. Nieboer, Amsterdam Chantilly, Musee Conde,472 13e ou 14e s.	nil	oui	nil	1188pm13	hain.	1283pm17	ms1	nil	2emxiie	pic	2emxiiie	narrbref	-
SEdmCantB	nil	vie de saint	oui	agn.	1255ca	agn.	1280pm20	ms2	agn	2emxiiie	agn	2emxiiie	hagio	-
MarieFab_L	nil	fable	oui	Nord-Ouest	1180ca	nil	1290pm10	ms	ouest	2emxiie	nil	2emxiiie	narrbref	-
RouH_CA	nil	chronique historique	oui	norm.	1167pm7	frc.	1300ca	ms2	ouest	2emxiie	bourgfrc	1emxive	hist	-
RoseLLec	Le Roman de la Rose de Jean de Meun, v. 4029-8226	poème allégorique sur l'art d'aimer en couplets octosyllabiques	oui	traits orl.	1230ca	orl.	1285ca	cr2	centre	1emxiiie	centre	2emxiiie	poalleg	-
EneasS3*	Enéas, Tome I, v. 1-1018, ms. A	roman antique	oui	norm.	1160ca	lorr.	1200ca	cr2	ouest	2emxiie	lorr	1emxiiie	roman	-
HermValS	Li romanz de Dieu et de sa mere d'Herman de Valenciennes, v. 1-2224	collection d'épisodes historiques tirés des deux Testaments et d'apocryphes	oui	pic.	1190pm10	lorr.	1290pm10	cr	pic	2emxiie	lorr	2emxiiie	hist	-
AucR3	Aucassin et Nicolete	chantefable en vers et en prose	non	pic.	1225pm25	pic.	1290pm10	ms1	pic	1emxiiie	pic	2emxiiie	nil	-
FillePonth1B2	La fille du comte de Pontieu, première main	conte en prose	non	Nord	1213pm13 	Nord	1290pm10	ms2	pic	1emxiiie	pic	2emxiiie	narrbref	-
Rois	nil	texte biblique	non	agn.	1175pm25	agn.	1190pm10	ms	agn	2emxiie	agn	2emxiie	hist	-
RenR	Le roman de Renart, branches II-VI, v. 3257-5550	nil	oui	nil	1188pm13	Est	1213pm37	ms	nil	2emxiie	bourgfrc	1emxiiie	narrbref	-
