deaf	titreDees	genre	vers	lieuComposition	dateComposition	lieuManuscrit	dateManuscrit	qualite	lieuCompositionType	dateCompositionType	lieuManuscritType	dateManuscritType	genreType	rmques
GuischartG_H	nil	sermon	oui	agn.	1190pm10	agn.	1250pm10	cr1	agn	2emxiie	agn	mxiiie	sermon	-
MarieLanvR2_H	nil	nil	oui	Nord-Ouest	1165ca	agn.	1275pm25	ms2	ouest	2emxiie	agn	2emxiiie	narrbref	-
BibleMacéV	La Bible de Macé de la Charité, t.II, v. 8581-10336	trad. de l'Ancien Testament	oui	Centre	1300ca	berr.	1343	cr	centre	1emxive	centre	1emxive	bible	-
ContPerc4Lo_A	[PVR] Perceval de Chretien de Troyes, v.1-2000 R.L.H. Lops Clermont Ferrand Bib.Mun. 248 fin 13e s	roman arthurien	oui	pic.	1250pm17	pic. sept.	1275pm25	ms1	pic	mxiiie	pic	2emxiiie	roman	-
ElesB_A	Le roman des ailes de Raoul de Houdenc, ms. A	poème didactique	oui	pic.	1207pm7	frc.	1288pm13	ms	pic	1emxiiie	bourgfrc	2emxiiie	poalleg	-
AtreW	[PVR] L'atre perilleux, v.1-820 B. Woledge, CFMA, Paris 1936 (N1) BN ffr 2168 fin 13e siècle	roman arthurien en octosyllabes	oui	ouest	1250pm10	pic.	1290pm10	cr2	ouest	mxiiie	pic	2emxiiie	roman	-
Aiol1/2N	Aiol, v. 1-790	chanson de geste en décasyllabes et alexandrins	oui	pic.	1160ca	pic.	1275pm25	ms1	pic	2emxiie	pic	2emxiiie	chgeste	-
RenContr1R	Le roman de Renart le contrefait, fin de la 6ème et dernière branche,	oeuvre moralisante	oui	champ. mérid.	1322ca	nil	1337pm13	cr2	champ	1emxive	nil	1emxive	roman	-
PassJonglGP	La Passion des Jongleurs, v. 1-1501	Passion en octosyllabes	oui	frc.	1243	frc.	1275pm25	ms	bourgfrc	1emxiiie	bourgfrc	2emxiiie	nil	-
MarieLanvR2_S	nil	lai	oui	Nord-Ouest	1165ca	frc.	1300ca	ms2	ouest	2emxiie	bourgfrc	1emxive	narrbref	-
ThebesR_D	Les fragments d'Angers du Roman de Thèbes, ms. D	roman antique	oui	poit.	1160ca	poit.	1200ca	cr2	centre	2emxiie	centre	1emxiiie	roman	-
CalendreS	Calendre und seine Kaiserchronik	chronique	oui	champ.	1215pm2	champ.	1235ca	ms2	champ	1emxiiie	champ	1emxiiie	hist	-
MarieLanvR2_C	nil	lai	oui	Nord-Ouest	1165ca	agn.	1290pm10	ms2	ouest	2emxiie	agn	2emxiiie	narrbref	-
RoseLLec	Le roman de la rose de Guillaume de Lorris	poème allégorique en couplets octosyllabique	oui	traits orl.	1230ca	orl.	1285ca	cr2	centre	1emxiiie	centre	2emxiiie	poalleg	-
SongeEnfL	Le songe d'enfer de Raoul de Houdenc	nil	oui	Beauvais	1214ca	impossible	1288pm12	cr3	pic	1emxiiie	bourgfrc	2emxiiie	poalleg	val lieu ? j’ai mis est d’après ce que j’ai vu dans le DEAF (frc)
MédLiégH	Médicinaire liégeois du XIIIe siècle	recueil de recettes médicinales, d'explications de songes, de lunes et de la liste des douze vendredis de jeûne	non	liég.	1275pm25	wall.	1275pm25	cr1	wall	2emxiiie	wall	2emxiiie	didact	-
SGraalIVQuesteP2*	La queste del saint Graal, ms. K, p. 1.1-41.17	roman arthurien en prose	non	nil	1228pm13	nil	1250pm50	cr3	nil	1emxiiie	nil	mxiiie	roman	-
ElesB_B	Le roman des ailes de Raoul de Houdenc, ms. B	poème didactique	oui	pic.	1207pm7	agn.	1290pm10	ms	pic	1emxiiie	agn	2emxiiie	poalleg	-
NarcisusP_B	nil	poème antiquisant	oui	norm.	1165ca	frc.	1290pm10	ms	ouest	2emxiie	bourgfrc	2emxiiie	nil	-
MerlinM	Merlin de Robert de Boron, ms. A, par. 1-28	roman arthurien	non	Sud-Est	1213pm13	bourg.	1250pm50	cr2	sudest	1emxiiie	bourgfrc	mxiiie	roman	-
AdamA	[PVR] Le mystere d'Adam P. Aebischer, TLF, Gene3ve-Paris 1963 Bibl.Munic. de Tours no 927 2e qwuart 13e s	mystère en prose latine et en vers français octo- et décasyllabiques	oui	traits occ. et agn.	1175pm25	tour.	1238pm13	ms2 	agn	2emxiie	centre	1emxiiie	theatre	-
SJeanBoucheW	La vie de saint Jean Bouche d'or.	Vie de saint	oui	pic.	1200ca	nil	nil	ms2	pic	1emxiiie	pic	2emxiiie	hagio	données complétées d’après infos DEAF : art. 1267
FloovA	Floovant, Chanson de Geste du XIIIe siècle, v. 1-1053	chanson de geste	oui	Sud-Est	1190pm10	bourg.	1325pm25	cr2	sudest	2emxiie	bourgfrc	1emxive	chgeste	-
AyeB	[PVR] Aye d'Avignon (BN f.fr. 2170),v.1-839 S.J. Borg, TLF, Genève 1967 (A) BN fin 13e s, déb. 14e	chanson de geste du cycle de Nanteuil, rattachée au cycle de Charlemagne, en laisses d'alexandrins	non	pic. / norm.	1200ca	nil	1300ca	cr1	pic	1emxiiie	nil	1emxive	chgeste	-
PeanGatS1_3	Leben und Wunderthaten des heiligen Martin, v. 8100-10295	vie de saint	oui	tour.	1225pm25	berr.	1290pm10	ms	centre	1emxiiie	centre	2emxiiie	hagio	-
NarcisusP_C	nil	poème antiquisant	oui	norm.	1165ca	pic.	1290pm10	cr1	ouest	2emxiie	pic	2emxiiie	narrbref	-
YvainL_P	Le chevalier au lion de Chrétien de Troyes, ms. P, v. 1-1000	roman arthurien en octosyllabes	oui	champ. mérid.	1177ca	pic.	1317pm17	ms	champ	2emxiie	pic	1emxive	roman	-
BestPierre1M	Le bestiaire de Pierre de Beauvais (version courte)	bestiaire en prose	non	pic.	1200ca	Marne	1290pm10	cr3	pic	1emxiiie	champ	2emxiiie	didact	-
JMeunAbC*	J. de Meun, Traduction de la première epître de P. Abélard, v. 1-821	épistolaire	non	frc.	1280ca	Paris	1395ca	ms3	bourgfrc	2emxiiie	idf	2emxive	epist	-
CleomH	Les oeuvres d'Adenet le Roi, t.V Cleomades, ms. A, v. 1-2566	roman courtois en vers	oui	flandr.	1285	frc	1290pm10	cr1	pic	2emxiiie	bourgfrc	2emxiiie	nil	rattachement de flandr. ?
LancPrM_A	Lancelot, roman en prose du XIIIe siècle ms. A, par. 1.1-4.2	roman breton en prose	non	nil	1220ca	pic.	1275pm25	cr	nil	1emxiiie	pic	2emxiiie	roman	-
nil	nil	lai	oui	frc.	1210pm10	frc.	1300ca	cr1	bourgfrc	1emxiiie	bourgfrc	1emxive	narrbref	-
SGregA1S	[PVR] La vie du pape Saint Gregoire H.B. Sol, Rodopi Amsterdam 1977 (A1) Bibl.Munic. de Tours 927 milieu 13e s	vie de saint	oui	nord	1175pm25	tour.	1238pm12	ms1	pic	2emxiie	centre	1emxiiie	hagio	-
GuillMarM	[PVR] L'Histoire de Guillaume le Marechal, Comte de Striguil et de Pembroke v.1-804 P. Meyer, Paris 1891-94 t.I bibl. Phillips Cheltenham n verm	biographie en vers	oui	norm.	1223pm4	agn.	1237pm13	cr2	ouest	1emxiiie	agn	1emxiiie	hist	-
ChevEspJ	Le chevalier a l'épée, dans: Two old french Gauvain romances	conte en octosyllabes	oui	bourg.	1200ca	bourg. sept.	1310pm10	ms1	bourgfrc	1emxiiie	bourgfrc	1emxive	roman	-
RCambrM	Raoul de Cambrai, v. 58-1797 (première main)	chanson de geste à laisses rimées	oui	nord-est	1190pm10	pic.	1225pm25	cr1	pic	2emxiie	pic	1emxiiie	chgeste	-
BestGervM	Le bestiaire de Gervaise	bestiaire rimé en octosyllabes, basé sur les Dicta Chrysostomi	oui	bourg.	1210pm10	bourg.	1275pm25	ms1	bourgfrc	1emxiiie	bourgfrc	2emxiiie	didact	-
CharroiSch_C*	Le charroi de Nimes, ms. C	épopée du cycle de Guillaume d'Orange	oui	nil	1150pm17	art.	1295	ms1	nil	mxiie	pic	2emxiiie	chgeste	-
BestGuillR	Le Bestiaire de Guillaume le Clerc	miracle dramatisé en vers	oui	norm.	1211ca	agn.	1250pm10	cr3	ouest	1emxiiie	agn	mxiiie	didact	-
JPrioratR	Li abrejance de l'ordre de chevalerie, v. 1-2266	traité sur la chevalerie en vers octosyllabiques	oui	frcomt.	1290ca	frcomt.	1300ca	ms	bourgfrc	2emxiiie	bourgfrc	1emxive	didact	-
SSagOctM	Le roman des sept sages, ms. K, v. 1-810	roman historique en octosyllabes	oui	Sud-Ouest	1183pm17	pic.	1285	ms2	sudouest	1emxiie	pic	2emxiiie	roman	-
BesantR	Le besant de Dieu de Guillaume le Clerc de Normandie, v. 1-802	poème moralisant	oui	norm.	1227	agn.	1290pm10	cr	ouest	1emxiiie	agn	2emxiiie	didact	-
MortArtuF3*	La mort le roi Artu, par. 1-35	chanson de geste de la matière de Bretagne	non	nil	1213pm13	frc.	1290pm10	cr	nil	1emxiiie	bourgfrc	2emxiiie	roman	-
MarieGuig_S	nil	lai	oui	Nord-Ouest	1165ca	frc.	1300ca	nil	ouest	2emxiie	bourgfrc	1emxive	narrbref	-
ThebesR_C	Le roman de Thèbes, Tome 1, ms. C, v. 1-766	roman antique	oui	poit.	1250pm17	frc.	1250pm17	ms2	centre	mxiiie	bourgfrc	mxiiie	roman	-
HueArchH*	Les dits de Hue Archevesque	dits	oui	norm.	1250pm20	frc.	1287pm13	ms	ouest	mxiiie	bourgfrc	2emxiiie	nil	-
Ren_H	nil	nil	oui	nil	1188pm13	pic.	1290pm10	ms	nil	2emxiie	pic	2emxiiie	narrbref	-
MarieFab_T	nil	fable	oui	Nord-Ouest	1180ca	champ.	1287pm13	ms	ouest	2emxiie	champ	2emxiiie	narrbref	-
JacAmArtK	L'art d'amors und li remedes d'Amors von Jacques d'Amiens	poème didactique	oui	flandr.	1250pm17	pic. ?	1300ca	ms	pic	mxiiie	pic	1emxive	didact	-
CassidP	Le roman de Cassidorus, par. 1-31	roman en prose	non	pic.	1275ca	frc.	1290pm10	cr2	pic	2emxiiie	bourgfrc	2emxiiie	roman	-
BodelNicH2	Le jeu de Saint Nicolas de Jehan Bodel	nil	oui	art.	1197pm6	Arras	1295ca	ms1	pic	2emxiie	pic	2emxiiie	theatre	-
SBernAn1F	Li Sermon Saint Bernart	sermons liturgiques	non	lorr.	1190pm10	Metz	1190pm10	cr2	lorr	2emxiie	lorr	2emxiie	sermon	-
MarieMil_S	nil	nil	oui	Nord-Ouest	1165ca	frc.	1300ca	cr1	ouest	2emxiie	bourgfrc	1emxive	narrbref	-
SCathGuiT	La vie de sainte Catherine d'Alexandrie	nil	oui	pic.	1225pm25	nil	1290pm10	ms	pic	1emxiiie	nil	2emxiiie	hagio	-
ChevBarBloisB	Le conte dou barril, par Jouham de la Chapele de Blois, ms. P	poème	oui	orl.	1218ca	orl.	1317pm17	ms	centre	1emxiiie	centre	1emxive	poalleg	-
PercLo_S	Le Perceval de Chrétien de Troyes, ms. S, v. 1-2000	nil	oui	champ. mérid.	1180ca	traits norm.	1310pm10	ms1	champ	2emxiie	ouest	1emxive	roman	-
ClefD	La clef d'amors	imitation de l'Ars Amatoria d'Ovide	oui	norm.	1280	pic.	1317pm1	cr	ouest	2emxiiie	pic	1emxive	didact	-
DialGregF	Sermo de sapientia, dans: Li dialoge Gregoire lo pape	récit pieux dialogué	non	Liège	1190pm10	Est	1210pm10	ms2	wall	2emxiie	bourgfrc	1emxiiie	dialogue	-
RobClariL	La conquête de Constantinople de Robert de Clari	récit de la quatrième croisade	non	pic.	1217pm1	pic.	1300ca	ms	pic	1emxiiie	pic	1emxive	hist	-
ContPerc2R	The continuations Perceval, Tome IV, v. 19706-22408	nil	oui	nil	1200ca	champ. mérid.	1225pm25	cr1	nil	1emxiiie	champ	1emxiiie	roman	-
EvNicPrAF	[PVR] L'evangile de Nicodeme A.E.Ford, Gene3ve 1973 (A)BN fr. 19525 13e s	traduction de l'évangile	non	nil	1225pm25	agn.	1290pm10	ms1	nil	1emxiiie	agn	2emxiiie	bible	-
PercLo_P	Le Perceval de Chrétien de Troyes, ms. P, v. 1-2000	roman arthurien	oui	champ. mérid.	1180ca	hain.	1250pm10	ms1	champ	2emxiie	pic	mxiiie	roman	-
RolS	nil	nil	oui	Nord-Ouest	1100ca	agn.	1137pm13	cr1	ouest	1emxiie	agn	1emxiie	hist	-
ComtePoitM	Le roman du comte de Poitiers	roman en vers	oui	pic.	1225pm25	pic.	1310pm10	ms	pic	1emxiiie	pic	1emxive	roman	-
AdHaleFeuillL	Le jeu de la feuillée d'Adam le Bossu	jeu en octosyllabes	oui	art.	1276	pic.	1295	cr3	pic	2emxiiie	pic	2emxiiie	theatre	-
IpH	nil	nil	oui	agn.	1185ca	agn.	1250pm10	cr	agn	2emxiie	agn	mxiiie	roman	-
RenN_C	Le roman de Renart, branche VI, ms. C	nil	oui	nil	1188pm13	nil	1300ca	ms1	nil	2emxiie	nil	1emxive	narrbref	-
DrouartB	Li livres d'amours de Drouart La Vache, v. 1-3010	nil	oui	champ.	1290	Aisne	1300ca	ms1	champ	2emxiiie	pic	1emxive	didact	rattachement de Aisne ?
EvratGenABo_trans2*	[PVR] La Genese d'Evrat, v.4797-6352 transcription W. Boers (A) BN 12.456 #periode#	poème biblique	oui	champ.	1198	lorr.	1210pm10	ms1	champ	2emxiie	lorr	1emxiiie	bible	-
LancPrM_S	[PVR] Lancelot, roman en prose du XIIIe siècle, tome I, par.Ia.1-VIa.2 pp A. Micha, TLF, Paris/Genève 1980 (A) Cambridge Corpus Christi College Library 45 2e moitie2 13e s.	nil	non	nil	1220ca	pic.	1316	nil	nil	1emxiiie	pic	1emxive	roman	-
PercLo_A	nil	roman arthurien	oui	champ. mérid.	1180ca	champ.	1235ca	ms1 	champ	2emxiie	champ	1emxiiie	roman	-
CoincyI10K	Les miracles de Notre Dame de Soissons, versifiés par Gautier de Coinci, ms. R	miracles en vers	oui	Soissonnais	1224ca	pic. mérid.	1310pm10	cr	bourgfrc	1emxiiie	pic	1emxive	hagio	-
VillehF	La conquête de Constantinople de Villehardouin, ms. O	chronique historique	non	champ.	1205pm4	nil	1375pm25	cr2	champ	1emxiiie	nil	2emxive	hist	-
ThebesC_D	[PVR] Le roman de Thebes, fragments d'Angers L. Constans, SATF, Paris 1890, vol.II, appendice VI (D) fin 12e s	roman antique	oui	poit.	1160ca	poit.	1200ca	ms	centre	2emxiie	centre	1emxiiie	roman	-
NoomenFabl_transB*	Fabliaux nrs 2 et 4 du ms. B	fabliau	oui	pic.	1250pm50	bourg. sept.	1310pm10	ms	pic	mxiiie	bourgfrc	1emxive	narrbref	-
PoèmeMorB_A	Le poème moral, traité de la Vie Chrétienne, v. 1-2320	traité de vie chrétienne	oui	wall.	1200ca	wall.	1210pm10	cr1	wall	1emxiiie	wall	1emxiiie	nil	-
BenDucF_T	Chronique des ducs de Normandie par Benoit, tome 1, ms. T, v. 1-2428	chronique en vers octosyllabiques	oui	poit.	1174ca	poit.	1190pm10	ms1	centre	2emxiie	centre	2emxiie	hist	-
YvainL_F	nil	roman arthurien en octosyllabes	oui	champ. mérid.	1177ca	pic.	1237pm13	ms1	champ	2emxiie	pic	1emxiiie	roman	-
VilVersonD	Le conte des vilains de Verson par Estout de Gox	conte	oui	norm.	1247	nil	1250pm10	ms2	ouest	1emxiiie	nil	mxiiie	narrbref	-
SermMaurPB	Sermons de Maurice de Sully, p. 1-69	sermons	non	La Rochelle	1250pm10	poit.	1250pm10	ms2	ouest	mxiiie	centre	mxiiie	sermon	-
JoufrF	Joufroi de Poitiers, v. 1-800	roman d'aventures	oui	Sud-Est 	1250pm10	Est	1300ca	ms3	sudest	mxiiie	bourgfrc	1emxive	roman	-
GuillDoleS	Le roman de la rose ou de Guillaume de Dole, v. 1-803	roman en octosyllabes	oui	pic.	1209ca	frc.	1290pm10	cr3	pic	1emxiiie	bourgfrc	2emxiiie	roman	-
ElesB_D	Le roman des ailes de Raoul de Houdenc, ms. D	poème didactique	oui	#NOM ?	1207pm7	frc.	1290pm10	ms	nil	1emxiiie	bourgfrc	2emxiiie	poalleg -	
SHilR_A*	La vie de saint Hylaire	hagiographie	non	nil	nil	Arras	1275pm25	ms1	nil	nil	pic	2emxiiie	hagio	-
ChastVergiS_H	La chastelaine de Vergi, ms. H	conte courtois en octosyllabes	oui	norm.	1240ca	nil	1310pm10	ms1	ouest	1emxiiie	nil	1emxive	narrbref	-
ChronSMichelM	[PVR] Le roman du Mont Saint-Michel par Guillaume de Saint-Pair, v.1-796 Francisque Michel, Caen 1856 nv nv	chronique rimée	oui	Nord-Ouest	1163pm13	norm.	1275pm25	ms	ouest	2emxiie	ouest	2emxiiie	hist	-
TurpinBurgWa*	The burgundian translation of the Pseudo-Turpin Chronicle  ou Turpin7W (description DEAF incomplète)	chronique historique	non	bourg.	1290pm10	bourg.	1290pm10	ms	bourgfrc	2emxiiie	bourgfrc	2emxiiie	hist	-
PriseCordD	La prise de Cordres et de Sebille, v. 1-996	chanson de geste (cycle de Guillaume d'Orange)	oui	lorr.	1200ca	Meuse	1262pm13	ms2	lorr	1emxiiie	lorr	2emxiiie	chgeste	-
FillePonth2B2	La fille du comte de Pontieu, deuxième main	nil	non	Nord	1238pm13	Nord	1290pm10	ms2	pic	2emxiiie	pic	2emxiiie	roman	-
DialAmeB	Dialogus anime conquerentis et rationis consolantis	texte religieux	non	lorr.	1200ca	lorr.	1200ca	ms2	lorr	1emxiiie	lorr	1emxiiie	dialogue	-
RenN_M	Le roman de Renart, branche VI, ms. M	nil	oui	nil	1188pm13	nil	1310pm10	ms1	nil	2emxiie	nil	1emxive	narrbref	-
MarieFab_Z	nil	fable	oui	Nord-Ouest	1180ca	nil	1400pm100	ms	ouest	2emxiie	nil	1emxve	narrbref	-
SCathJonglF	La passion saynte Katherine	vie de Sainte en vers irréguliers	oui	poit.	1250pm50	traits frpr.	1325pm25	ms1	centre	mxiiie	sudest	1emxive	hagio	-
PeanGatS1_2	Leben und Wunderthaten des heiligen Martin, v. 2001-4091	vie de saint	oui	tour.	1225pm25	poit.	1290pm10	ms	centre	1emxiiie	centre	2emxiiie	hagio	-
MousketR	Chronique rimée de Philippe Mouskes, v. 12135-14650	chronique des rois de France, de la guerre de Troie à Saint Louis, en octosyllabes	oui	hain.	1243	hain.	1275pm25	ms3	pic	1emxiiie	pic	2emxiiie	hist	-
VerCoulK	Li ver de Couloigne	nil	oui	pic. orient.	1250ca	art.	1290pm10	cr1	pic	mxiiie	pic	2emxiiie	didact	-
